,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Has_Cabin,Family_size,IsAlone,title,AgeGroup,FarePerPerson
0,1,0,3,male,22.0,1,0,7.25,S,0,2,0,Mr,Adult,3.625
1,2,1,1,female,38.0,1,0,71.2833,C,1,2,0,Mrs,Adult,35.64165
2,3,1,3,female,26.0,0,0,7.925,S,0,1,1,Miss,Adult,7.925
3,4,1,1,female,35.0,1,0,53.1,S,1,2,0,Mrs,Adult,26.55
4,5,0,3,male,35.0,0,0,8.05,S,0,1,1,Mr,Adult,8.05
5,6,0,3,male,25.0,0,0,8.4583,Q,0,1,1,Mr,Adult,8.4583
6,7,0,1,male,54.0,0,0,51.8625,S,1,1,1,Mr,Adult,51.8625
7,8,0,3,male,2.0,3,1,21.075,S,0,5,0,Master,Child,4.215
8,9,1,3,female,27.0,0,2,11.1333,S,0,3,0,Mrs,Adult,3.7111
9,10,1,2,female,14.0,1,0,30.0708,C,0,2,0,Mrs,Teen,15.0354
10,11,1,3,female,4.0,1,1,16.7,S,1,3,0,Miss,Child,5.566666666666666
11,12,1,1,female,58.0,0,0,26.55,S,1,1,1,Miss,Adult,26.55
12,13,0,3,male,20.0,0,0,8.05,S,0,1,1,Mr,Adult,8.05
13,14,0,3,male,39.0,1,5,31.275,S,0,7,0,Mr,Adult,4.4678571428571425
14,15,0,3,female,14.0,0,0,7.8542,S,0,1,1,Miss,Teen,7.8542
15,16,1,2,female,55.0,0,0,16.0,S,0,1,1,Mrs,Adult,16.0
16,17,0,3,male,2.0,4,1,29.125,Q,0,6,0,Master,Child,4.854166666666667
17,18,1,2,male,30.0,0,0,13.0,S,0,1,1,Mr,Adult,13.0
18,19,0,3,female,31.0,1,0,18.0,S,0,2,0,Mrs,Adult,9.0
19,20,1,3,female,21.5,0,0,7.225,C,0,1,1,Mrs,Adult,7.225
20,21,0,2,male,35.0,0,0,26.0,S,0,1,1,Mr,Adult,26.0
21,22,1,2,male,34.0,0,0,13.0,S,1,1,1,Mr,Adult,13.0
22,23,1,3,female,15.0,0,0,8.0292,Q,0,1,1,Miss,Teen,8.0292
23,24,1,1,male,28.0,0,0,35.5,S,1,1,1,Mr,Adult,35.5
24,25,0,3,female,8.0,3,1,21.075,S,0,5,0,Miss,Child,4.215
25,26,1,3,female,38.0,1,5,31.3875,S,0,7,0,Mrs,Adult,4.483928571428572
26,27,0,3,male,25.0,0,0,7.225,C,0,1,1,Mr,Adult,7.225
27,28,0,1,male,19.0,3,2,263.0,S,1,6,0,Mr,Adult,43.833333333333336
28,29,1,3,female,21.5,0,0,7.8792,Q,0,1,1,Miss,Adult,7.8792
29,30,0,3,male,25.0,0,0,7.8958,S,0,1,1,Mr,Adult,7.8958
30,31,0,1,male,40.0,0,0,27.7208,C,0,1,1,Rare,Adult,27.7208
31,32,1,1,female,35.0,1,0,146.5208,C,1,2,0,Mrs,Adult,73.2604
32,33,1,3,female,21.5,0,0,7.75,Q,0,1,1,Miss,Adult,7.75
33,34,0,2,male,66.0,0,0,10.5,S,0,1,1,Mr,Senior,10.5
34,35,0,1,male,28.0,1,0,82.1708,C,0,2,0,Mr,Adult,41.0854
35,36,0,1,male,42.0,1,0,52.0,S,0,2,0,Mr,Adult,26.0
36,37,1,3,male,25.0,0,0,7.2292,C,0,1,1,Mr,Adult,7.2292
37,38,0,3,male,21.0,0,0,8.05,S,0,1,1,Mr,Adult,8.05
38,39,0,3,female,18.0,2,0,18.0,S,0,3,0,Miss,Teen,6.0
39,40,1,3,female,14.0,1,0,11.2417,C,0,2,0,Miss,Teen,5.62085
40,41,0,3,female,40.0,1,0,9.475,S,0,2,0,Mrs,Adult,4.7375
41,42,0,2,female,27.0,1,0,21.0,S,0,2,0,Mrs,Adult,10.5
42,43,0,3,male,25.0,0,0,7.8958,C,0,1,1,Mr,Adult,7.8958
43,44,1,2,female,3.0,1,2,41.5792,C,0,4,0,Miss,Child,10.3948
44,45,1,3,female,19.0,0,0,7.8792,Q,0,1,1,Miss,Adult,7.8792
45,46,0,3,male,25.0,0,0,8.05,S,0,1,1,Mr,Adult,8.05
46,47,0,3,male,25.0,1,0,15.5,Q,0,2,0,Mr,Adult,7.75
47,48,1,3,female,21.5,0,0,7.75,Q,0,1,1,Miss,Adult,7.75
48,49,0,3,male,25.0,2,0,21.6792,C,0,3,0,Mr,Adult,7.226400000000001
49,50,0,3,female,18.0,1,0,17.8,S,0,2,0,Mrs,Teen,8.9
50,51,0,3,male,7.0,4,1,39.6875,S,0,6,0,Master,Child,6.614583333333333
51,52,0,3,male,21.0,0,0,7.8,S,0,1,1,Mr,Adult,7.8
52,53,1,1,female,49.0,1,0,76.7292,C,1,2,0,Mrs,Adult,38.3646
53,54,1,2,female,29.0,1,0,26.0,S,0,2,0,Mrs,Adult,13.0
54,55,0,1,male,65.0,0,1,61.9792,C,1,2,0,Mr,Senior,30.9896
55,56,1,1,male,40.0,0,0,35.5,S,1,1,1,Mr,Adult,35.5
56,57,1,2,female,21.0,0,0,10.5,S,0,1,1,Miss,Adult,10.5
57,58,0,3,male,28.5,0,0,7.2292,C,0,1,1,Mr,Adult,7.2292
58,59,1,2,female,5.0,1,2,27.75,S,0,4,0,Miss,Child,6.9375
59,60,0,3,male,11.0,5,2,46.9,S,0,8,0,Master,Child,5.8625
60,61,0,3,male,22.0,0,0,7.2292,C,0,1,1,Mr,Adult,7.2292
61,62,1,1,female,38.0,0,0,80.0,S,1,1,1,Miss,Adult,80.0
62,63,0,1,male,45.0,1,0,83.475,S,1,2,0,Mr,Adult,41.7375
63,64,0,3,male,4.0,3,2,27.9,S,0,6,0,Master,Child,4.6499999999999995
64,65,0,1,male,40.0,0,0,27.7208,C,0,1,1,Mr,Adult,27.7208
65,66,1,3,male,25.0,1,1,15.2458,C,0,3,0,Master,Adult,5.081933333333333
66,67,1,2,female,29.0,0,0,10.5,S,1,1,1,Mrs,Adult,10.5
67,68,0,3,male,19.0,0,0,8.1583,S,0,1,1,Mr,Adult,8.1583
68,69,1,3,female,17.0,4,2,7.925,S,0,7,0,Miss,Teen,1.1321428571428571
69,70,0,3,male,26.0,2,0,8.6625,S,0,3,0,Mr,Adult,2.8874999999999997
70,71,0,2,male,32.0,0,0,10.5,S,0,1,1,Mr,Adult,10.5
71,72,0,3,female,16.0,5,2,46.9,S,0,8,0,Miss,Teen,5.8625
72,73,0,2,male,21.0,0,0,73.5,S,0,1,1,Mr,Adult,73.5
73,74,0,3,male,26.0,1,0,14.4542,C,0,2,0,Mr,Adult,7.2271
74,75,1,3,male,32.0,0,0,56.4958,S,0,1,1,Mr,Adult,56.4958
75,76,0,3,male,25.0,0,0,7.65,S,1,1,1,Mr,Adult,7.65
76,77,0,3,male,25.0,0,0,7.8958,S,0,1,1,Mr,Adult,7.8958
77,78,0,3,male,25.0,0,0,8.05,S,0,1,1,Mr,Adult,8.05
78,79,1,2,male,0.83,0,2,29.0,S,0,3,0,Master,Child,9.666666666666666
79,80,1,3,female,30.0,0,0,12.475,S,0,1,1,Miss,Adult,12.475
80,81,0,3,male,22.0,0,0,9.0,S,0,1,1,Mr,Adult,9.0
81,82,1,3,male,29.0,0,0,9.5,S,0,1,1,Mr,Adult,9.5
82,83,1,3,female,21.5,0,0,7.7875,Q,0,1,1,Miss,Adult,7.7875
83,84,0,1,male,28.0,0,0,47.1,S,0,1,1,Mr,Adult,47.1
84,85,1,2,female,17.0,0,0,10.5,S,0,1,1,Miss,Teen,10.5
85,86,1,3,female,33.0,3,0,15.85,S,0,4,0,Mrs,Adult,3.9625
86,87,0,3,male,16.0,1,3,34.375,S,0,5,0,Mr,Teen,6.875
87,88,0,3,male,25.0,0,0,8.05,S,0,1,1,Mr,Adult,8.05
88,89,1,1,female,23.0,3,2,263.0,S,1,6,0,Miss,Adult,43.833333333333336
89,90,0,3,male,24.0,0,0,8.05,S,0,1,1,Mr,Adult,8.05
90,91,0,3,male,29.0,0,0,8.05,S,0,1,1,Mr,Adult,8.05
91,92,0,3,male,20.0,0,0,7.8542,S,0,1,1,Mr,Adult,7.8542
92,93,0,1,male,46.0,1,0,61.175,S,1,2,0,Mr,Adult,30.5875
93,94,0,3,male,26.0,1,2,20.575,S,0,4,0,Mr,Adult,5.14375
94,95,0,3,male,59.0,0,0,7.25,S,0,1,1,Mr,Adult,7.25
95,96,0,3,male,25.0,0,0,8.05,S,0,1,1,Mr,Adult,8.05
96,97,0,1,male,71.0,0,0,34.6542,C,1,1,1,Mr,Senior,34.6542
97,98,1,1,male,23.0,0,1,63.3583,C,1,2,0,Mr,Adult,31.67915
98,99,1,2,female,34.0,0,1,23.0,S,0,2,0,Mrs,Adult,11.5
99,100,0,2,male,34.0,1,0,26.0,S,0,2,0,Mr,Adult,13.0
100,101,0,3,female,28.0,0,0,7.8958,S,0,1,1,Miss,Adult,7.8958
101,102,0,3,male,25.0,0,0,7.8958,S,0,1,1,Mr,Adult,7.8958
102,103,0,1,male,21.0,0,1,77.2875,S,1,2,0,Mr,Adult,38.64375
103,104,0,3,male,33.0,0,0,8.6542,S,0,1,1,Mr,Adult,8.6542
104,105,0,3,male,37.0,2,0,7.925,S,0,3,0,Mr,Adult,2.6416666666666666
105,106,0,3,male,28.0,0,0,7.8958,S,0,1,1,Mr,Adult,7.8958
106,107,1,3,female,21.0,0,0,7.65,S,0,1,1,Miss,Adult,7.65
107,108,1,3,male,25.0,0,0,7.775,S,0,1,1,Mr,Adult,7.775
108,109,0,3,male,38.0,0,0,7.8958,S,0,1,1,Mr,Adult,7.8958
109,110,1,3,female,21.5,1,0,24.15,Q,0,2,0,Miss,Adult,12.075
110,111,0,1,male,47.0,0,0,52.0,S,1,1,1,Mr,Adult,52.0
111,112,0,3,female,14.5,1,0,14.4542,C,0,2,0,Miss,Teen,7.2271
112,113,0,3,male,22.0,0,0,8.05,S,0,1,1,Mr,Adult,8.05
113,114,0,3,female,20.0,1,0,9.825,S,0,2,0,Miss,Adult,4.9125
114,115,0,3,female,17.0,0,0,14.4583,C,0,1,1,Miss,Teen,14.4583
115,116,0,3,male,21.0,0,0,7.925,S,0,1,1,Mr,Adult,7.925
116,117,0,3,male,70.5,0,0,7.75,Q,0,1,1,Mr,Senior,7.75
117,118,0,2,male,29.0,1,0,21.0,S,0,2,0,Mr,Adult,10.5
118,119,0,1,male,24.0,0,1,247.5208,C,1,2,0,Mr,Adult,123.7604
119,120,0,3,female,2.0,4,2,31.275,S,0,7,0,Miss,Child,4.4678571428571425
120,121,0,2,male,21.0,2,0,73.5,S,0,3,0,Mr,Adult,24.5
121,122,0,3,male,25.0,0,0,8.05,S,0,1,1,Mr,Adult,8.05
122,123,0,2,male,32.5,1,0,30.0708,C,0,2,0,Mr,Adult,15.0354
123,124,1,2,female,32.5,0,0,13.0,S,1,1,1,Miss,Adult,13.0
124,125,0,1,male,54.0,0,1,77.2875,S,1,2,0,Mr,Adult,38.64375
125,126,1,3,male,12.0,1,0,11.2417,C,0,2,0,Master,Child,5.62085
126,127,0,3,male,25.0,0,0,7.75,Q,0,1,1,Mr,Adult,7.75
127,128,1,3,male,24.0,0,0,7.1417,S,0,1,1,Mr,Adult,7.1417
128,129,1,3,female,21.5,1,1,22.3583,C,1,3,0,Miss,Adult,7.452766666666666
129,130,0,3,male,45.0,0,0,6.975,S,0,1,1,Mr,Adult,6.975
130,131,0,3,male,33.0,0,0,7.8958,C,0,1,1,Mr,Adult,7.8958
131,132,0,3,male,20.0,0,0,7.05,S,0,1,1,Mr,Adult,7.05
132,133,0,3,female,47.0,1,0,14.5,S,0,2,0,Mrs,Adult,7.25
133,134,1,2,female,29.0,1,0,26.0,S,0,2,0,Mrs,Adult,13.0
134,135,0,2,male,25.0,0,0,13.0,S,0,1,1,Mr,Adult,13.0
135,136,0,2,male,23.0,0,0,15.0458,C,0,1,1,Mr,Adult,15.0458
136,137,1,1,female,19.0,0,2,26.2833,S,1,3,0,Miss,Adult,8.7611
137,138,0,1,male,37.0,1,0,53.1,S,1,2,0,Mr,Adult,26.55
138,139,0,3,male,16.0,0,0,9.2167,S,0,1,1,Mr,Teen,9.2167
139,140,0,1,male,24.0,0,0,79.2,C,1,1,1,Mr,Adult,79.2
140,141,0,3,female,21.5,0,2,15.2458,C,0,3,0,Mrs,Adult,5.081933333333333
141,142,1,3,female,22.0,0,0,7.75,S,0,1,1,Miss,Adult,7.75
142,143,1,3,female,24.0,1,0,15.85,S,0,2,0,Mrs,Adult,7.925
143,144,0,3,male,19.0,0,0,6.75,Q,0,1,1,Mr,Adult,6.75
144,145,0,2,male,18.0,0,0,11.5,S,0,1,1,Mr,Teen,11.5
145,146,0,2,male,19.0,1,1,36.75,S,0,3,0,Mr,Adult,12.25
146,147,1,3,male,27.0,0,0,7.7958,S,0,1,1,Mr,Adult,7.7958
147,148,0,3,female,9.0,2,2,34.375,S,0,5,0,Miss,Child,6.875
148,149,0,2,male,36.5,0,2,26.0,S,1,3,0,Mr,Adult,8.666666666666666
149,150,0,2,male,42.0,0,0,13.0,S,0,1,1,Rare,Adult,13.0
150,151,0,2,male,51.0,0,0,12.525,S,0,1,1,Rare,Adult,12.525
151,152,1,1,female,22.0,1,0,66.6,S,1,2,0,Mrs,Adult,33.3
152,153,0,3,male,55.5,0,0,8.05,S,0,1,1,Mr,Adult,8.05
153,154,0,3,male,40.5,0,2,14.5,S,0,3,0,Mr,Adult,4.833333333333333
154,155,0,3,male,25.0,0,0,7.3125,S,0,1,1,Mr,Adult,7.3125
155,156,0,1,male,51.0,0,1,61.3792,C,0,2,0,Mr,Adult,30.6896
156,157,1,3,female,16.0,0,0,7.7333,Q,0,1,1,Miss,Teen,7.7333
157,158,0,3,male,30.0,0,0,8.05,S,0,1,1,Mr,Adult,8.05
158,159,0,3,male,25.0,0,0,8.6625,S,0,1,1,Mr,Adult,8.6625
159,160,0,3,male,25.0,8,2,69.55,S,0,11,0,Master,Adult,6.322727272727272
160,161,0,3,male,44.0,0,1,16.1,S,0,2,0,Mr,Adult,8.05
161,162,1,2,female,40.0,0,0,15.75,S,0,1,1,Mrs,Adult,15.75
162,163,0,3,male,26.0,0,0,7.775,S,0,1,1,Mr,Adult,7.775
163,164,0,3,male,17.0,0,0,8.6625,S,0,1,1,Mr,Teen,8.6625
164,165,0,3,male,1.0,4,1,39.6875,S,0,6,0,Master,Child,6.614583333333333
165,166,1,3,male,9.0,0,2,20.525,S,0,3,0,Master,Child,6.841666666666666
166,167,1,1,female,35.0,0,1,55.0,S,1,2,0,Mrs,Adult,27.5
167,168,0,3,female,45.0,1,4,27.9,S,0,6,0,Mrs,Adult,4.6499999999999995
168,169,0,1,male,40.0,0,0,25.925,S,0,1,1,Mr,Adult,25.925
169,170,0,3,male,28.0,0,0,56.4958,S,0,1,1,Mr,Adult,56.4958
170,171,0,1,male,61.0,0,0,33.5,S,1,1,1,Mr,Senior,33.5
171,172,0,3,male,4.0,4,1,29.125,Q,0,6,0,Master,Child,4.854166666666667
172,173,1,3,female,1.0,1,1,11.1333,S,0,3,0,Miss,Child,3.7111
173,174,0,3,male,21.0,0,0,7.925,S,0,1,1,Mr,Adult,7.925
174,175,0,1,male,56.0,0,0,30.6958,C,1,1,1,Mr,Adult,30.6958
175,176,0,3,male,18.0,1,1,7.8542,S,0,3,0,Mr,Teen,2.6180666666666665
176,177,0,3,male,25.0,3,1,25.4667,S,0,5,0,Master,Adult,5.0933399999999995
177,178,0,1,female,50.0,0,0,28.7125,C,1,1,1,Miss,Adult,28.7125
178,179,0,2,male,30.0,0,0,13.0,S,0,1,1,Mr,Adult,13.0
179,180,0,3,male,36.0,0,0,0.0,S,0,1,1,Mr,Adult,0.0
180,181,0,3,female,21.5,8,2,69.55,S,0,11,0,Miss,Adult,6.322727272727272
181,182,0,2,male,30.0,0,0,15.05,C,0,1,1,Mr,Adult,15.05
182,183,0,3,male,9.0,4,2,31.3875,S,0,7,0,Master,Child,4.483928571428572
183,184,1,2,male,1.0,2,1,39.0,S,1,4,0,Master,Child,9.75
184,185,1,3,female,4.0,0,2,22.025,S,0,3,0,Miss,Child,7.341666666666666
185,186,0,1,male,40.0,0,0,50.0,S,1,1,1,Mr,Adult,50.0
186,187,1,3,female,21.5,1,0,15.5,Q,0,2,0,Mrs,Adult,7.75
187,188,1,1,male,45.0,0,0,26.55,S,0,1,1,Mr,Adult,26.55
188,189,0,3,male,40.0,1,1,15.5,Q,0,3,0,Mr,Adult,5.166666666666667
189,190,0,3,male,36.0,0,0,7.8958,S,0,1,1,Mr,Adult,7.8958
190,191,1,2,female,32.0,0,0,13.0,S,0,1,1,Mrs,Adult,13.0
191,192,0,2,male,19.0,0,0,13.0,S,0,1,1,Mr,Adult,13.0
192,193,1,3,female,19.0,1,0,7.8542,S,0,2,0,Miss,Adult,3.9271
193,194,1,2,male,3.0,1,1,26.0,S,1,3,0,Master,Child,8.666666666666666
194,195,1,1,female,44.0,0,0,27.7208,C,1,1,1,Mrs,Adult,27.7208
195,196,1,1,female,58.0,0,0,146.5208,C,1,1,1,Miss,Adult,146.5208
196,197,0,3,male,25.0,0,0,7.75,Q,0,1,1,Mr,Adult,7.75
197,198,0,3,male,42.0,0,1,8.4042,S,0,2,0,Mr,Adult,4.2021
198,199,1,3,female,21.5,0,0,7.75,Q,0,1,1,Miss,Adult,7.75
199,200,0,2,female,24.0,0,0,13.0,S,0,1,1,Miss,Adult,13.0
200,201,0,3,male,28.0,0,0,9.5,S,0,1,1,Mr,Adult,9.5
201,202,0,3,male,25.0,8,2,69.55,S,0,11,0,Mr,Adult,6.322727272727272
202,203,0,3,male,34.0,0,0,6.4958,S,0,1,1,Mr,Adult,6.4958
203,204,0,3,male,45.5,0,0,7.225,C,0,1,1,Mr,Adult,7.225
204,205,1,3,male,18.0,0,0,8.05,S,0,1,1,Mr,Teen,8.05
